op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For sale,centrs,Avotu 4,2,41,4,5,Renov.,Masonry,All amenities,57500,56.9508163,24.1271389
For rent,centrs,Klijānu 2e,1,30,2,9,Renov.,Brick-Panel,All amenities,270,56.974699,24.1449329
For rent,Āgenskalns,Āgenskalna 22,2,41,3,5,Hrušč.,Brick,All amenities,330,56.9456104,24.0623652
For sale,Bolderāja,Silikātu 1/2,2,41.77,1,3,Hrušč.,Brick,All amenities,39000,NaN,NaN
For rent,centrs,Čaka 96,2,62,3,5,Jaun.,Brick-Panel,All amenities,700,56.9571813,24.13946679
For rent,centrs,Ausekļa 7,2,77,3,6,Renov.,Brick,All amenities,600,56.96104425,24.09965576
For sale,Imanta,Anniņmuižas bulvāris 38,2,60,2,17,Jaun.,Masonry,All amenities,88000,56.96112105,24.0182168
Buying,Vecmīlgrāvis,,,,,,,,,,46.3144754,11.0480288
For sale,Āgenskalns,Mārupes 47,3,68,3,5,Specpr.,Brick-Panel,All amenities,89000,56.9271624,24.07697718
For rent,Imanta,M. Krūmu 6,1,29,4,5,LT proj.,Panel,All amenities,230,56.9584558,24.0028561
For sale,Dreiliņi,Kaivas 33/1,3,86,4,4,Jaun.,Panel-Brick,All amenities,130000,56.9541725,24.2443253
For rent,centrs,Lāčplēša 147,1,20,2,4,Jaun.,Brick,All amenities,210,56.9468471,24.133767
For rent,Purvciems,Marsa g. 12,1,26,3,5,LT proj.,Panel,All amenities,240,56.9518384,24.1999196
For sale,Iļģuciems,Grīvas 11,3,55,3,5,Hrušč.,Brick,All amenities,63000,56.9654887,24.04998795
For sale,Sarkandaugava,Sarkandaugavas 11,2,50,6,9,602,Panel,All amenities,47000,56.99898215,24.12328767
For sale,Imanta,Jūrmalas g. 99,3,63,5,9,602,Panel,All amenities,50000,56.952975,24.0166971
For sale,Ziepniekkalns,Ozolciema 32/3,2,50,1,9,602,Panel,All amenities,49000,56.8990307,24.0785989
For rent,centrs,Grostonas 17,3,88,7,8,Jaun.,Masonry,All amenities,890,56.96998705,24.12421088
For rent,centrs,Ģertrūdes 84,2,53,3,6,P. kara,Masonry,All amenities,350,56.9471865,24.1411337
For sale,Berģi,Berģu 9,3,58,1,4,Hrušč.,Brick,Partial amenities,60000,56.99786715,24.27734153
For sale,Bolderāja,Silikātu 1k2,2,44,1,3,Hrušč.,Brick,All amenities,35400,57.0272671,24.0389108
For sale,Ziepniekkalns,Staburaga 3,2,48,3,3,Hrušč.,Brick,All amenities,65000,56.91116745,24.11631975
For rent,Krasta r-ns,Maskavas 237,1,30,5,5,Hrušč.,Brick,All amenities,260,56.9275041,24.16706739
For sale,Ķengarags,Maskavas 279,3,55,5,5,LT proj.,Brick,All amenities,43000,56.91925545,24.17382949
For sale,Purvciems,Madonas 19,1,46,6,9,119,Panel,All amenities,43500,56.96043465,24.17048602
For rent,Imanta,Anniņmuižas bulvāris 43,2,45,9,24,Jaun.,Brick-Panel,All amenities,50,56.9590306,24.01388704
For rent,Dzegužkalns,Dzirciema 33,3,61,4,5,LT proj.,Panel,All amenities,340,56.9562173,24.05205275
For rent,Pļavnieki,Zemes 9,1,36,1,9,M. ģim.,Panel,All amenities,240,56.9422955,24.19988596
For sale,Purvciems,Brantkalna 12,3,76,8,9,119,Panel,All amenities,88000,56.9491644,24.1939752
