op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For sale,centrs,Čaka 36,4,84,2,5,Renov.,Masonry,All amenities,149810,56.952698,24.1299733
For sale,Purvciems,Ūnijas 58a,3,59,4,5,LT proj.,Panel,All amenities,55000,56.96372375,24.17871383
For rent,centrs,Riepnieku 4,2,55,5,5,Staļina,Brick,All amenities,300,56.94400335,24.1257803
For rent,Pļavnieki,Dravnieku 13,3,63,7,8,602,Panel,All amenities,350,56.94404435,24.21522315
For sale,centrs,Stabu 29,3,76,5,6,P. kara,Masonry,All amenities,110000,56.9564335,24.1285032
For sale,Mežciems,Kaivas 50,3,69,3,5,Jaun.,Brick-Panel,All amenities,92750,56.95546705,24.24181865
For rent,centrs,13. janvāra 21,3,91,4,6,Jaun.,Panel,All amenities,850,56.9443781,24.1105085
For rent,Sarkandaugava,Ziemeļu 17,2,30,3,4,P. kara,Masonry,Partial amenities,180,57.0018786,24.119843
For rent,Ziepniekkalns,Zaļenieku 21,1,34,2,3,Jaun.,Masonry,All amenities,390,56.906906,24.09811735
For sale,centrs,Merķeļa 17,2,60,2,4,P. kara,Brick,All amenities,180000,56.9515994,24.1159776
For sale,Teika,Brīvības gatve 313,3,79,2,5,Specpr.,Brick-Panel,All amenities,81000,56.98279245,24.19636688
For rent,Vecmīlgrāvis,Emmas 28,2,40,1,5,Jaun.,Brick-Panel,All amenities,320,57.03179875,24.11666443
For sale,Vecmīlgrāvis,Emmas 28,2,33,4,4,Renov.,Masonry,All amenities,49000,57.03179875,24.11666443
For sale,centrs,Ģertrūdes 41,4,81,2,2,P. kara,Wood,All amenities,103000,56.95393085,24.12924228
For sale,Vecmīlgrāvis,Emmas 28,2,28,1,4,Renov.,Masonry,All amenities,37000,57.03179875,24.11666443
For rent,Vecrīga,Vaļņu 3,2,43,5,6,Renov.,Brick-Panel,All amenities,520,56.9506012,24.1093904
Buying,centrs,,7,20,20,20,,,,,46.3144754,11.0480288
Buying,Teika,,7,20,20,20,,,,,46.3144754,11.0480288
Buying,Sarkandaugava,,7,20,20,20,,,,,46.3144754,11.0480288
Other,Imanta,Zentenes 18,1,15,7,,119,Panel,All amenities,175,56.9618626,24.00349102
For sale,Jugla,Juglas 23,2,47,3,5,Hrušč.,Panel,All amenities,40500,56.98386715,24.24852794
For sale,centrs,Valdemāra 69,2,33,1,5,Renov.,Masonry,All amenities,49990,56.9620417,24.1224439
For sale,centrs,Valdemāra 69,2,55,2,5,Renov.,Masonry,All amenities,73990,56.9620417,24.1224439
For sale,centrs,Valdemāra 69,2,37,2,6,Renov.,Masonry,All amenities,87990,56.9620417,24.1224439
For sale,centrs,Valdemāra 69,2,39,4,5,Renov.,Masonry,All amenities,64990,56.9620417,24.1224439
For sale,centrs,Valdemāra 69,1,29,1,5,Renov.,Masonry,All amenities,43990,56.9620417,24.1224439
For sale,centrs,Valdemāra 69,1,22,4,5,Renov.,Masonry,All amenities,41442,56.9620417,24.1224439
For sale,centrs,Valdemāra 69,2,40,4,6,Renov.,Masonry,All amenities,58990,56.9620417,24.1224439
For rent,centrs,Valdemāra 83,2,49,1,7,Renov.,Brick,All amenities,500,56.9634352,24.12521243
For sale,centrs,Valdemāra 69,2,37,2,6,Renov.,Masonry,All amenities,84990,56.9620417,24.1224439
For sale,centrs,Valdemāra 69,1,26,4,5,Renov.,Masonry,All amenities,49400,56.9620417,24.1224439
For sale,centrs,Valdemāra 69,2,40,2,6,Renov.,Masonry,All amenities,64990,56.9620417,24.1224439
For sale,Teika,Raunas 19,4,74,5,5,Specpr.,Brick-Panel,All amenities,86000,56.96893685,24.1736181
For sale,centrs,Maskavas 112,2,39,3,4,P. kara,Brick,All amenities,45000,56.8597884,24.3083417
For sale,centrs,Valdemāra 69,1,16,2,5,P. kara,Masonry,All amenities,47000,56.9620417,24.1224439
For sale,Ziepniekkalns,Vienības g. 87i,3,112,2,4,Jaun.,Masonry,All amenities,142000,56.918403,24.0883001
For sale,Ziepniekkalns,Vienības g. 87i,2,85,1,4,Jaun.,Panel,All amenities,115000,56.918403,24.0883001
For sale,Purvciems,Braslas 53,3,81.3,6,6,Jaun.,Panel,All amenities,115000,56.9574718,24.16698909
For sale,Purvciems,Dzelzavas 33,1,32,4,5,LT proj.,Brick-Panel,All amenities,33500,56.9601831,24.1809678
For sale,Iļģuciems,Reņģes 7-k2,2,44.6,1,5,Specpr.,Brick,All amenities,36000,56.9657966,24.0629937
For sale,Teika,Ropažu 93,1,28,1,2,P. kara,Wood,Partial amenities,22000,56.9825039,24.1917693
For sale,Iļģuciems,Baltā 19,3,55,2,5,LT proj.,Panel,All amenities,40000,56.97070215,24.06501801
For sale,Sarkandaugava,Ziemeļu 3,2,52,4,5,Jaun.,Masonry,All amenities,59500,57.0025614,24.2835188
For rent,centrs,Skolas 191,1,5,1,5,P. kara,Brick,All amenities,120,48.2969502,-100.7081938
Buying,Iļģuciems,,7,20,20,20,,,,,46.3144754,11.0480288
Buying,Imanta,,7,20,20,20,,,,,46.3144754,11.0480288
Buying,Dzegužkalns,,7,20,20,20,,,,,46.3144754,11.0480288
Buying,,,7,20,20,20,,,,,46.3144754,11.0480288
Buying,Ziepniekkalns,,7,20,20,20,,,,,46.3144754,11.0480288
Buying,Vecmīlgrāvis,,7,20,20,20,,,,,46.3144754,11.0480288
Buying,Purvciems,,7,20,20,20,,,,,46.3144754,11.0480288
For sale,centrs,Pērnavas 10,3,80,2,5,Staļina,Brick,All amenities,142000,56.9647239,24.1477109
For rent,Bolderāja,Gobas 35,2,49,2,5,LT proj.,Brick-Panel,All amenities,250,57.0322103,24.0541375
For rent,centrs,Elijas 20,1,15,3,4,P. kara,Brick,All amenities,200,56.9411476,24.1242481
For sale,centrs,Lienes 6a,1,22,2,2,P. kara,Wood,All amenities,15000,56.9539286,24.1448758
For sale,Dārzciems,Slāvu 17,2,51,6,9,602,Panel,All amenities,53000,56.9297701,24.17743874
For sale,Ķengarags,Prūšu 22,2,45,4,5,Hrušč.,Brick,All amenities,40000,56.9134761,24.18677075
For rent,Imanta,Jūrmalas g. 113b,4,102,2,3,Jaun.,Panel-Brick,All amenities,800,56.9540026,23.98965914
For sale,Pļavnieki,Salnas 21,3,72,8,9,Jaun.,Panel,All amenities,125000,56.942327,24.23009288
For rent,Āgenskalns,Mūkusalas 25,1,35,3,6,Jaun.,Masonry,All amenities,550,56.9374039,24.10117626
For rent,Purvciems,Pūces 45,2,70,1,9,Jaun.,Panel-Brick,All amenities,450,56.9527285,24.19079871
For sale,Pļavnieki,Rencēnu 40,1,27,1,5,Renov.,Panel,All amenities,25000,56.9223072,24.2131166
For sale,Pļavnieki,Ilūkstes 18,2,50,3,9,602,Panel,All amenities,51000,56.938833,24.1962186
For sale,Imanta,Dammes 19,2,50,2,5,LT proj.,Panel,All amenities,53000,56.96275695,24.01119865
For sale,Purvciems,Nīcgales 47,4,91,3,5,103,Brick-Panel,All amenities,100000,56.9461335,24.17317489
For rent,Pļavnieki,Rudens 5,1,35,5,9,602,Panel,All amenities,230,56.93860365,24.1990405
Buying,centrs,,3,,2,,,,,,46.3144754,11.0480288
For sale,centrs,Skolas 20,3,112,2,6,Renov.,Masonry,All amenities,320000,48.2969502,-100.7081938
For sale,centrs,Stabu 11,4,89,2,6,Specpr.,Panel-Brick,All amenities,199500,56.95926715,24.12276008
Renting,Zolitūde,,2,,,,,,,,46.3144754,11.0480288
Renting,Purvciems,,2,,,,,,,,46.3144754,11.0480288
For sale,Pļavnieki,Pavasara g. 5,4,76,6,9,602,Panel,All amenities,89000,56.9346184,24.1980807
For sale,Čiekurkalns,Tēraudlietuves 10,1,31,1,2,P. kara,Wood,Partial amenities,11900,56.98125695,24.1517526
For rent,centrs,Vagonu 22,1,30,3,5,Renov.,Brick,All amenities,400,56.94863315,24.1500322
For rent,Imanta,Rigondas g. 7,1,30,12,12,Čehu pr.,Brick-Panel,All amenities,290,56.9648157,24.0190534
Other,centrs,Kalniņa 1a,1,30,4,5,P. kara,Brick,All amenities,10,56.94944785,24.12059856
Change,Ziepniekkalns,,2,,9,9,602,,All amenities,,46.3144754,11.0480288
For sale,Sarkandaugava,Sīmaņa 9a,2,32,1,4,P. kara,Masonry,All amenities,19000,56.99391265,24.12969899
For rent,centrs,Ausekļa 7,2,77,3,6,P. kara,Masonry,All amenities,700,56.96104425,24.09965576
For sale,Maskavas priekšpilsēta,Maskavas 222b,2,47,4,9,467,Panel,All amenities,51000,56.9239084,24.167406
For sale,Imanta,M. Krūmu 18,2,50,8,9,602,Panel,All amenities,58000,56.9613122,24.00396807
For sale,Mežaparks,Ķempes 4,3,140,8,12,Jaun.,Masonry,All amenities,179800,56.9943642,24.16612669
For rent,centrs,Stabu 70,4,111.3,4,5,P. kara,Brick,All amenities,560,56.952235,24.1366039
For rent,Ķengarags,Lokomotīves 48,2,49,2,5,LT proj.,Panel,All amenities,45,56.90837855,24.20066605
For sale,Mežaparks,Ezermalas 4,4,75,2,5,Specpr.,Brick,All amenities,57000,56.99320475,24.19176237
Buying,Dzegužkalns,,,,,,,,,,46.3144754,11.0480288
For sale,Āgenskalns,Sabiles 8,3,90,2,3,Jaun.,Masonry,All amenities,144200,56.9394528,24.0668604
Buying,Čiekurkalns,,7,,,,,,,,46.3144754,11.0480288
For rent,centrs,Sermuliņu 14,2,50,2,5,Jaun.,Panel,All amenities,550,56.97121095,24.10518275
For sale,Jugla,Juglas 47,3,57,4,5,LT proj.,Panel,All amenities,57500,56.96646415,24.28968472
For sale,Āgenskalns,Nometņu 49,2,48,4,5,P. kara,Masonry,All amenities,62000,56.9386867,24.0725201
For sale,centrs,Lāčplēša 62/66,4,126,3,5,P. kara,Masonry,All amenities,120000,56.9468471,24.133767
For sale,centrs,Mastu 6,2,47,3,5,Hrušč.,Brick,All amenities,52900,56.97019225,24.10072675
For rent,Torņakalns,Jelgavas 62/64,1,22,2,2,P. kara,Wood,Partial amenities,180,56.9382641,24.0971627
For rent,centrs,Eksporta 4,1,46,3,5,P. kara,Brick,All amenities,400,56.956763,24.0954531
For sale,Vecmīlgrāvis,Vecmīlgrāvja 1. l. 54,2,50,2,5,LT proj.,Panel,All amenities,31500,NaN,NaN
For sale,Ķengarags,Maskavas 254/7,2,44,1,5,Hrušč.,Brick-Panel,All amenities,41800,56.8945857,24.2163422
For sale,Voleri,Daugavgrīvas š. 17,2,43,1,1,Priv. m.,Wood,Without amenities,5500,57.0164335,24.0628649
For sale,Šampēteris-Pleskodāle,Kalnciema 101,3,62,2,5,Specpr.,Brick,All amenities,63500,56.9371252,24.04281399
For rent,centrs,Rūpniecības 1,5,155,2,6,Renov.,Masonry,All amenities,2200,56.9591583,24.10267411
For sale,Ziepniekkalns,Īslīces 3,3,78,2,9,119,Panel,All amenities,77000,56.9004074,24.08374229
For sale,Purvciems,Ķeguma 43,1,39,4,5,M. ģim.,Panel,All amenities,37900,56.96378645,24.19618745
For sale,centrs,Ģertrūdes 31,2,51,2,5,P. kara,Masonry,All amenities,105000,56.955527,24.12644277
For rent,Šampēteris-Pleskodāle,Šampētera 74,1,50,1,2,Priv. m.,Masonry,All amenities,430,56.9394655,24.03009322
For sale,Dzegužkalns,Tapešu 54,3,59,1,5,LT proj.,Panel,All amenities,49200,56.95884165,24.04820195
For sale,Imanta,Kurzemes pr. 74,3,54,5,5,LT proj.,Panel,All amenities,60000,56.9567829,24.0344957
For sale,Vecrīga,Vāgnera 2,4,118,4,5,Renov.,Masonry,All amenities,596000,56.9492915,24.1099745
For sale,centrs,Kazarmu 2a,1,30,2,5,P. kara,Brick,All amenities,42000,56.9731021,24.1419
For sale,Purvciems,Dzelzavas 38,3,75,5,12,104,Panel,All amenities,85000,56.9583699,24.1789809
For sale,Āgenskalns,Gregora 6,2,36,6,6,LT proj.,Brick-Panel,All amenities,29500,56.945795,24.0521562
For sale,centrs,Republikas laukums 3,3,126,6,6,Jaun.,Panel,All amenities,273000,56.9552522,24.09999913
For sale,Pļavnieki,Lubānas 117-65,2,50,9,8,602,Panel,All amenities,47000,56.9310392,24.1885814
For sale,Maskavas priekšpilsēta,Maskavas 55,3,65,1,5,P. kara,Masonry,All amenities,68000,56.8597884,24.3083417
For rent,centrs,Bruņinieku 81,1,14,3,5,P. kara,Masonry,All amenities,185,56.9519155,24.14045272
For sale,centrs,Hospitāļu 28,2,62,4,5,P. kara,Brick,All amenities,67500,56.97381225,24.13811847
For sale,Imanta,Anniņmuižas bulvāris 50,3,61,5,9,602,Panel,All amenities,53500,56.95975045,24.01069307
For sale,Ķīpsala,Balasta d. 72,3,131,1,1,Jaun.,Masonry,All amenities,260000,56.9489344,24.0882804
For sale,centrs,Valdemāra 76,4,96,3,10,Specpr.,Brick,All amenities,130000,56.96885245,24.13257604
For sale,Vecmīlgrāvis,Stiebru 6,1,28,1,5,LT proj.,Panel,All amenities,31000,57.0347818,24.09617185
For sale,centrs,Vāgnera 12,1,20,2,4,Renov.,Masonry,All amenities,72000,56.94881585,24.11147386
For sale,Pļavnieki,Ulbrokas 22,2,51,3,9,602,Panel,All amenities,52900,56.9440729,24.21773921
For rent,Teika,Vairoga 32,2,56,2,3,Jaun.,Brick-Panel,All amenities,540,56.9690716,24.17164989
For sale,Āgenskalns,Raņķa d. 34,3,91,6,23,Jaun.,Masonry,All amenities,199400,56.9483074,24.0801468
For sale,Teika,Āraišu 38,3,90,2,6,Jaun.,Brick-Panel,All amenities,143000,56.97268315,24.17128975
For sale,Mežciems,Kaivas 29/2,3,105,1,4,Jaun.,Brick-Panel,All amenities,157000,56.9541725,24.2443253
For rent,Šampēteris-Pleskodāle,Lielirbes 13,3,89,17,30,Jaun.,Masonry,All amenities,650,56.9334996,24.0424848
For rent,Ķengarags,Prūšu 4,2,42,4,5,Jaun.,Panel,All amenities,340,56.9146747,24.18150793
For sale,Āgenskalns,Ventspils 45/1,2,47,3,3,Specpr.,Brick,All amenities,65000,56.9335665,24.0460096
For sale,Jugla,Juglas 37,3,60,5,5,Hrušč.,Panel,All amenities,49000,56.96648685,24.2842205
For sale,Čiekurkalns,Gaujas 37,1,31,3,3,P. kara,Masonry,Partial amenities,14700,56.98605995,24.1634713
For rent,centrs,Republikas laukums 3,2,55,5,8,Jaun.,Brick-Panel,All amenities,49,56.9552522,24.09999913
For sale,Purvciems,Upeņu 19,4,83,5,8,Jaun.,Panel,All amenities,152800,56.9604932,24.19255198
For sale,centrs,Baznīcas 45,5,143,3,5,Renov.,Masonry,All amenities,255000,56.9599931,24.1244665
For rent,centrs,Brīvības 121-141,3,62,3,5,Staļina,Brick,All amenities,500,56.9675034,24.1486457
For sale,Dzegužkalns,Eiženijas 17,5,91,3,5,Jaun.,Panel,All amenities,162100,56.9561314,24.0541248
For rent,centrs,Blaumaņa 5,5,133,4,4,P. kara,Masonry,All amenities,950,56.9550369,24.1223636
For sale,Purvciems,Ainavas 2a,3,82,2,6,Jaun.,Panel-Brick,All amenities,123000,56.9638199,24.18973608
For rent,centrs,Kalēju 74,2,61,3,6,Jaun.,Panel-Brick,All amenities,780,56.945456,24.1115799
For rent,centrs,Barona 37,3,81,7,7,P. kara,Masonry,All amenities,850,56.9546563,24.1272827
For rent,centrs,Palasta 9,3,84,4,5,Renov.,Masonry,All amenities,950,56.9478576,24.1042869
For rent,Šampēteris-Pleskodāle,Volguntes 40,3,104,3,4,Jaun.,Brick,All amenities,780,56.9375738,24.03746545
For sale,centrs,Katrīnas d. 17,2,67,2,6,Jaun.,Panel-Brick,All amenities,79900,56.9716816,24.1021951
For rent,centrs,Antonijas 14,1,30,4,8,Renov.,Panel,All amenities,380,56.9589948,24.11305653
For rent,centrs,Antonijas 14,1,26,3,8,Renov.,Panel,All amenities,350,56.9589948,24.11305653
For sale,centrs,Birznieka-Upīša 6,7,195,2,3,P. kara,Wood,All amenities,159000,56.94854695,24.12445425
For sale,Āgenskalns,Gardenes 9,2,45,1,5,Hrušč.,Brick,All amenities,45300,56.9273556,24.07368867
For rent,Iļģuciems,Lilijas 8,3,68,5,5,LT proj.,Panel,All amenities,370,56.9650304,24.06595853
For sale,Sarkandaugava,Aptiekas 11,5,134,1,3,P. kara,Brick,All amenities,40000,56.99784,24.1192554
For sale,Imanta,Vecumnieku 78,3,99,1,3,Jaun.,Masonry,Without amenities,230000,56.9563166,24.0234127
Renting,Purvciems,,3,,2,,,,,,46.3144754,11.0480288
For sale,Ķengarags,Festivāla 1,2,35,3,5,Hrušč.,Brick,All amenities,37500,56.90348845,24.20369795
For sale,Ķengarags,Aglonas 10/3,2,47,2,5,LT proj.,Panel,All amenities,46000,56.9137899,24.180044
For rent,centrs,Pulkv. Brieža 3,1,31,4,5,P. kara,Masonry,All amenities,310,NaN,NaN
For sale,Imanta,Anniņmuižas bulvāris 43,3,86,5,22,Jaun.,Panel,All amenities,158000,56.9590306,24.01388704
For rent,Ziepniekkalns,Ziepniekkalna 70,4,138,4,4,Jaun.,Masonry,All amenities,700,56.8974581,24.1389382
For sale,centrs,Indrānu 17,2,49,2,4,Renov.,Masonry,All amenities,99000,56.968951,24.14488427
For rent,Zolitūde,Apuzes 40,3,104,3,4,Jaun.,Brick-Panel,All amenities,780,56.93844915,24.02309632
For sale,centrs,Tallinas 38,3,75,2,4,P. kara,Masonry,All amenities,95000,56.9614077,24.13945613
For sale,centrs,Tallinas 86,1,31,5,5,Renov.,Brick,All amenities,60000,56.95652115,24.1476809
For rent,centrs,Baznīcas 26a,3,104,6,6,P. kara,Brick,All amenities,700,56.9585108,24.12289782
For sale,Pļavnieki,Ulbrokas 22,2,51,2,9,602,Panel,All amenities,58000,56.9440729,24.21773921
For rent,centrs,Brīvības 114,2,38,2,3,P. kara,Masonry,All amenities,270,56.9619771,24.1348346
For sale,Dārzciems,Jaunrozes 9,2,48,1,3,Specpr.,Brick,All amenities,45000,56.94596715,24.16620155
For sale,Jugla,Silciema 5,2,46,1,5,Hrušč.,Panel,All amenities,41000,56.9882535,24.23789543
For sale,centrs,Valdemāra 11,3,85,1,5,P. kara,Masonry,All amenities,145000,56.9557623,24.11080203
Buying,Zolitūde,,,,,,,,,,46.3144754,11.0480288
Buying,Ziepniekkalns,,,,,,,,,,46.3144754,11.0480288
Buying,Vecmīlgrāvis,,,,,,,,,,46.3144754,11.0480288
For sale,Teika,Ūnijas 73,3,92,4,5,Jaun.,Masonry,All amenities,160000,56.96436315,24.17915021
Buying,Teika,,,,,,,,,,46.3144754,11.0480288
Buying,Sarkandaugava,,,,,,,,,,46.3144754,11.0480288
Renting,Čiekurkalns,,,,,,,,,,46.3144754,11.0480288
Buying,Purvciems,,,,,,,,,,46.3144754,11.0480288
Buying,Pļavnieki,,,,,,,,,,46.3144754,11.0480288
Buying,Mežciems,,,,,,,,,,46.3144754,11.0480288
For rent,Mežciems,Hipokrāta 9,1,47,5,16,104,Panel,All amenities,270,56.96758455,24.23807802
For sale,Āgenskalns,Kristapa 20,2,41,2,5,Hrušč.,Brick,All amenities,39999,56.94411415,24.06430445
For sale,Imanta,Akāciju 2d,2,45,2,9,Jaun.,Panel,All amenities,89999,56.9514132,24.00387618
For sale,Imanta,Jūrmalas g. 82/2,2,47,9,9,Jaun.,Panel,All amenities,76999,NaN,NaN
For sale,Teika,Ieriķu 39,3,56,1,1,LT proj.,Panel,All amenities,59990,56.9666739,24.18015715
For sale,centrs,Barona 36,4,125,4,6,Renov.,Masonry,All amenities,295000,56.9531436,24.1255034
For rent,Āgenskalns,Kuldīgas 13a,2,63,4,5,Specpr.,Brick,All amenities,350,56.95251975,24.06587134
For sale,Imanta,Kurzemes pr. 98,3,63,5,9,602,Panel,All amenities,65000,NaN,NaN
For rent,Purvciems,Ilūkstes 48,2,64,2,9,119,Panel,All amenities,325,56.94943115,24.1991222
For sale,Pļavnieki,Tīnūžu 6,1,33,2,9,602,Panel,All amenities,32000,56.9343507,24.20600825
For rent,centrs,Stabu 46,3,85,5,5,P. kara,Masonry,All amenities,400,56.9543322,24.13130437
For sale,Pļavnieki,Salnas 1,1,33,5,9,467,Panel,All amenities,34000,56.9437576,24.21792505
For sale,Ziepniekkalns,Kaplavas 5,2,70,4,6,Jaun.,Masonry,All amenities,97000,56.90846935,24.07867741
For sale,Ziepniekkalns,Bruknas 12,2,60,8,9,119,Panel,All amenities,60000,56.90217635,24.08785815
For sale,Teika,Ropažu 12,3,124,5,9,Jaun.,Masonry,All amenities,190000,56.97725905,24.1667267
For sale,centrs,Brīvības iela 114,3,86,6,6,P. kara,Masonry,All amenities,129000,56.9619771,24.1348346
For sale,centrs,Barona 24/26,3,53,6,6,Renov.,Masonry,All amenities,133000,56.95161295,24.12245715
For sale,Pļavnieki,Keldiša 9,3,63,3,6,602,Panel,All amenities,57000,56.940619,24.20180878
Buying,Šampēteris-Pleskodāle,,7,,,,,,,,46.3144754,11.0480288
For sale,centrs,M. Piena 6,2,36,2,6,Jaun.,Masonry,All amenities,55500,56.96973635,24.10404675
For sale,centrs,Čaka 36,4,84,2,5,P. kara,Brick,All amenities,149810,56.952698,24.1299733
For sale,centrs,Čaka 36,2,64,3,5,P. kara,Masonry,All amenities,126400,56.952698,24.1299733
For sale,centrs,Maskavas 95,1,31,4,4,P. kara,Masonry,All amenities,18000,56.8597884,24.3083417
For sale,Sarkandaugava,Viestura pr. 83,3,84,1,2,Staļina,Brick,All amenities,84300,NaN,NaN
For sale,Čiekurkalns,Skultes 5,2,55,3,3,Jaun.,Masonry,All amenities,64000,56.9849578,24.183134
For sale,Vecmīlgrāvis,Gāles 7,3,77,1,2,P. kara,Wood,Partial amenities,43000,57.03017055,24.11902169
For sale,Ziepniekkalns,Kartupeļu 54,2,48,2,3,Specpr.,Brick,All amenities,48000,56.9111955,24.10796549
For sale,Purvciems,Purvciema 13,3,73,5,12,104,Panel,All amenities,65000,56.95341415,24.1672841
For rent,centrs,Puškina 1,1,18,4,6,Specpr.,Brick,All amenities,120,56.94041605,24.11915209
For rent,centrs,Stabu 65,2,36,4,5,P. kara,Masonry,All amenities,420,56.9529261,24.1357275
For sale,Purvciems,Nīcgales 4,3,64,1,9,602,Panel,All amenities,61500,56.95855255,24.17531633
For sale,Ķengarags,Lokomotīves 54,1,32,12,12,Čehu pr.,Brick-Panel,All amenities,36300,56.9075339,24.20198917
For rent,centrs,Stabu 61,3,85,5,5,P. kara,Brick,All amenities,620,56.9533109,24.1349288
For sale,centrs,Pulkv. Brieža 13,2,100,7,6,Renov.,Masonry,All amenities,215000,NaN,NaN
Buying,Teika,Brīvības iela,2,50,,,,,,,56.9640621,24.139579
For sale,Purvciems,Dzelzavas 15,3,53,2,5,Hrušč.,Brick,All amenities,65000,56.963066,24.17059653
For sale,Šampēteris-Pleskodāle,Irlavas 20,3,122,6,6,103,Brick-Panel,All amenities,115000,56.9394231,24.03594891
For rent,centrs,Lāčplēša 7,3,81,2,5,Renov.,Masonry,All amenities,995,56.957715,24.11911096
For sale,Iļģuciems,Tvaikoņu 2,2,40,2,3,P. kara,Masonry,All amenities,43500,56.9650552,24.07269999
For sale,Sarkandaugava,Sarkandaugavas 26,2,41,3,5,Hrušč.,Brick,All amenities,37000,57.0021488,24.1248028
For sale,Ziepniekkalns,Līvciema 5,4,76,2,9,602,Brick-Panel,All amenities,83000,56.9019124,24.1024598
For sale,Vecmīlgrāvis,Edžiņa g. 7,3,56,2,5,LT proj.,Panel,All amenities,37000,57.0316748,24.1063938
For sale,Iļģuciems,Saulgožu 4,2,52,5,5,LT proj.,Panel,All amenities,49980,56.96270215,24.04703708
For rent,centrs,Avotu 43,1,25,3,3,P. kara,Masonry,All amenities,23,56.9520789,24.1379656
Renting,centrs,,1,,2,,,,All amenities,400,46.3144754,11.0480288
For rent,Zasulauks,Kalnciema 88,2,53,2,2,Priv. m.,Wood,All amenities,220,56.9453372,24.0731765
For rent,centrs,Bruņinieku 111,1,16,1,4,Renov.,Brick,All amenities,150,56.9502926,24.14356492
For rent,Šampēteris-Pleskodāle,Kalnciema 114,1,10,5,5,103,Brick-Panel,All amenities,130,56.9359249,24.04209205
For rent,Āgenskalns,Nometņu 62,1,23,1,1,Priv. m.,Wood,All amenities,260,56.9366902,24.07133399
For rent,centrs,Čaka 117/1,3,68,2,6,Renov.,Masonry,All amenities,480,56.9626863,24.1480584
For rent,Sarkandaugava,Viestura pr. 53,2,48,6,9,LT proj.,Brick-Panel,All amenities,320,56.9984366,24.1328951
For sale,Torņakalns,Robežu 24,1,22,2,2,P. kara,Wood,All amenities,17750,56.92093585,24.0826549
For sale,Iļģuciems,Buļļu 52,1,34,2,3,P. kara,Brick,Partial amenities,18700,56.9699271,24.04540326
For sale,Purvciems,Stirnu 47,3,60,1,5,LT proj.,Panel,All amenities,58000,56.96285935,24.18951308
For rent,centrs,Jeruzalemes 5,2,60,2,6,Renov.,Panel-Brick,All amenities,60,56.9579333,24.113967
For sale,Zolitūde,Lejiņa 3,4,90,2,9,119,Panel,All amenities,105000,56.94716445,24.01443719
For sale,Zolitūde,Lejiņa 3,4,89,2,9,119,Panel,All amenities,92000,56.94716445,24.01443719
For sale,Iļģuciems,Lilijas 22,3,84,2,4,Jaun.,Brick-Panel,All amenities,150000,56.96504035,24.06178179
For sale,centrs,Valdemāra 121,3,46,1,5,P. kara,Brick,All amenities,60000,56.9668351,24.12975478
For sale,Šķirotava,Šķirotavas 2a,1,27,3,5,Specpr.,Brick,All amenities,24900,56.90657655,24.22035187
Renting,centrs,,2,,,,,,,,46.3144754,11.0480288
For sale,Ziepniekkalns,Valdeķu 54,1,32,6,9,602,Panel,All amenities,38500,56.9094064,24.0954157
For sale,Jugla,Kvēles 23,2,46,3,5,Hrušč.,Panel,All amenities,38000,56.9826432,24.24517809
Buying,,,7,,,,,,,,46.3144754,11.0480288
For rent,Zolitūde,Bieziņa 4,2,58,9,10,119,Panel,All amenities,330,56.9446833,24.02038744
For sale,Mangaļi,Mores 3,2,44,1,5,LT proj.,Panel,All amenities,36500,57.0188111,24.13501185
For rent,Pļavnieki,Dzeņu 10,3,63,9,9,602,Panel,All amenities,350,56.9399951,24.21151718
For rent,Purvciems,Dudajeva g. 10,2,40,1,5,LT proj.,Panel-Brick,All amenities,300,56.9570069,24.1987368
For sale,centrs,Marijas 16,3,89,6,7,Renov.,Brick,All amenities,169000,56.9505796,24.1255938
For rent,centrs,Alūksnes 3,1,20,4,5,Renov.,Masonry,All amenities,330,56.9695576,24.0993637
For sale,Mangaļi,Lēdurgas 10,1,23,2,2,P. kara,Wood,All amenities,13700,57.0200065,24.12707056
For sale,Dārzciems,Zeltiņu 11,2,46,3,5,103,Brick-Panel,All amenities,45700,56.9482182,24.1684586
For sale,Iļģuciems,Lidoņu 16,2,43,1,2,Staļina,Masonry,All amenities,44200,56.97098035,24.06007931
Buying,Krasta r-ns,,7,,,,,,,,46.3144754,11.0480288
For rent,centrs,Zvaigžņu 24,1,20,2,6,Renov.,Masonry,All amenities,25,56.9607411,24.1497716
For rent,Ziepniekkalns,Ozolciema 16,1,40,1,7,119,Panel,All amenities,250,56.9008066,24.0862562
For rent,centrs,Pulkv. Brieža 13,3,75,4,5,Renov.,Masonry,All amenities,55,NaN,NaN
For rent,Teika,Vairoga 32,3,47,3,3,Jaun.,Masonry,All amenities,540,56.9690716,24.17164989
For sale,Sarkandaugava,Ozolu 5,1,38,5,5,Specpr.,Brick,All amenities,28880,56.9866895,24.13636643
For sale,Mežciems,Druvienas 32,2,49,5,5,LT proj.,Panel,All amenities,44500,56.97034375,24.23148338
Renting,Mežaparks,,,,,,,,,,46.3144754,11.0480288
Renting,Dzegužkalns,,,,,,,,,,46.3144754,11.0480288
For sale,Ķengarags,Salaspils 12,3,61,3,5,LT proj.,Panel,All amenities,46900,56.8597884,24.3083417
